Date,ln(St) - ln(St-k),"ln(Ft,t-k) - ln(St-k)"
4/21/2022,-0.106227192,-0.03586510205
4/22/2022,-0.09626338527,-0.04677003994
4/25/2022,-0.06405670952,-0.0453923289
4/26/2022,-0.09392739044,-0.05230930954
4/27/2022,-0.08747512443,-0.04308852087
4/28/2022,-0.1213210972,-0.05857046112
4/29/2022,-0.1129424897,-0.05806432058
5/2/2022,-0.1185677131,-0.05762830712
5/3/2022,-0.09304998361,-0.05009795351
5/4/2022,-0.1435431921,-0.05088341432
5/5/2022,-0.1465986086,-0.05052968124
5/6/2022,-0.160826211,-0.04922317807
5/9/2022,-0.09839993071,-0.04697284095
5/10/2022,-0.06546134504,-0.04595680475
5/11/2022,-0.1216054978,-0.05014653386
5/12/2022,-0.1277477331,-0.05549179754
5/13/2022,-0.168091045,-0.06215266164
5/16/2022,-0.19970684,-0.07403379643
5/17/2022,-0.1841574499,-0.07821906656
5/18/2022,-0.1603704017,-0.08156357425
5/19/2022,-0.1832666606,-0.07915933834
5/20/2022,-0.187002655,-0.08029430048
5/23/2022,-0.1662797784,-0.05314608413
5/24/2022,-0.1862921123,-0.07468907935
5/25/2022,-0.1892198525,-0.07207928391
5/26/2022,-0.2181213271,-0.07050631745
5/27/2022,-0.2074787867,-0.05112849092
5/31/2022,-0.2024207834,-0.04909620855
6/1/2022,-0.2100849909,-0.04707378271
6/2/2022,-0.2240423124,-0.04640594503
6/3/2022,-0.2417659054,-0.04733287569
6/6/2022,-0.2370477233,-0.04367280139
6/7/2022,-0.2466292388,-0.04281058694
6/8/2022,-0.2664236654,-0.04007395553
6/9/2022,-0.2629734032,-0.04227342588
6/10/2022,-0.2564511923,-0.04567235916
6/13/2022,-0.2580237148,-0.04750501613
6/14/2022,-0.2413455431,-0.04682438819
6/15/2022,-0.2106054177,-0.04043546384
6/16/2022,-0.2298433865,-0.0422194205
6/17/2022,-0.1593668893,-0.03511087876
6/21/2022,-0.1678195641,-0.02892365238
6/22/2022,-0.1284069599,-0.02121767432
6/23/2022,-0.1239723629,-0.04023115255
6/24/2022,-0.1548844229,-0.04328138994
6/27/2022,-0.1763808744,-0.04646874016
6/28/2022,-0.1961060808,-0.04287333751
6/29/2022,-0.1782635232,-0.04244669025
6/30/2022,-0.142801077,-0.04420714108
7/1/2022,-0.1660984712,-0.04553617131
7/5/2022,-0.08344583295,-0.05080104727
7/6/2022,-0.07115993582,-0.05459904777
7/7/2022,-0.1132292829,-0.05269281838
7/8/2022,-0.133665188,-0.05041632176
7/11/2022,-0.1271823354,-0.04709022427
7/12/2022,-0.04469374459,-0.04587191642
7/13/2022,-0.05234177045,-0.04796259122
7/14/2022,-0.04571686725,-0.05205245891
7/15/2022,-0.06395630287,-0.05172145692
7/18/2022,-0.1118902105,-0.04964236486
7/19/2022,-0.1274650742,-0.05202758895
7/20/2022,-0.1116030329,-0.04473902259
7/21/2022,-0.05234177045,-0.02145983066
7/22/2022,-0.04489845288,-0.03128990776
7/25/2022,-0.06636328427,-0.03185533689
7/26/2022,-0.04520543677,-0.02864454872
7/27/2022,-0.06836468592,-0.02808233602
7/28/2022,-0.05912488934,-0.02751669544
7/29/2022,-0.08107966799,-0.02691104227
8/1/2022,-0.03336976112,-0.02835133192
8/2/2022,-0.03904778184,-0.0284003218
8/3/2022,0.00182139655,-0.02816781301
8/4/2022,0.0230642025,-0.03058682527
8/5/2022,0.01782000824,-0.03053672386
8/8/2022,-0.00106986209,-0.02995665725
8/9/2022,0.002572348685,-0.02918325568
8/10/2022,-0.01339732957,-0.02947536677
8/11/2022,-0.03781168774,-0.02801186496
8/12/2022,-0.01529666538,-0.02963576072
8/15/2022,0.01271157911,-0.03116134321
8/16/2022,0.04588814916,-0.03072613129
8/17/2022,0.02789566023,-0.03062376096
8/18/2022,0.002357733382,-0.02939787099
8/19/2022,-0.001390597646,-0.03016721818
8/22/2022,0,-0.03474348907
