Date,ln(St) - ln(St-k),"ln(Ft,t-k) - ln(St-k)"
5/23/2022,-0.2643877026,-0.07900082857
5/24/2022,-0.2844000364,-0.09911126417
5/25/2022,-0.2873277766,-0.09607234119
5/26/2022,-0.3162292513,-0.09585254219
5/27/2022,-0.3055867108,-0.07662706768
5/31/2022,-0.3005287076,-0.07561555748
6/1/2022,-0.3081929151,-0.07137542045
6/2/2022,-0.3221502365,-0.07117697976
6/3/2022,-0.3398738296,-0.07204752077
6/6/2022,-0.3351556474,-0.06760037807
6/7/2022,-0.344737163,-0.06487874351
6/8/2022,-0.3645315895,-0.06234313057
6/9/2022,-0.3610813274,-0.06379269444
6/10/2022,-0.3545591164,-0.06856106829
6/13/2022,-0.356131639,-0.07110985008
6/14/2022,-0.3394534672,-0.07018285414
6/15/2022,-0.3087133418,-0.06169829894
6/16/2022,-0.3279513106,-0.06419832722
6/17/2022,-0.2574748135,-0.05622463179
6/21/2022,-0.2659274882,-0.0503934036
6/22/2022,-0.2265148841,-0.04220765881
6/23/2022,-0.222080287,-0.06545304478
6/24/2022,-0.252992347,-0.07222668965
6/27/2022,-0.2744887985,-0.07584895335
6/28/2022,-0.2942140049,-0.06986678583
6/29/2022,-0.2763714474,-0.06972885974
6/30/2022,-0.2409090012,-0.07203998457
7/1/2022,-0.2642063953,-0.07519650637
7/5/2022,-0.1815537571,-0.08323176895
7/6/2022,-0.16926786,-0.08810857923
7/7/2022,-0.211337207,-0.08556996659
7/8/2022,-0.2317731121,-0.08203476355
7/11/2022,-0.2252902595,-0.07728157511
7/12/2022,-0.1428016687,-0.07424184254
7/13/2022,-0.1504496946,-0.07463947962
7/14/2022,-0.1438247914,-0.08134737267
7/15/2022,-0.162064227,-0.08210326877
7/18/2022,-0.2099981346,-0.08090448778
7/19/2022,-0.2255729983,-0.08523110332
7/20/2022,-0.2097109571,-0.07523538876
7/21/2022,-0.1504496946,-0.04849561186
7/22/2022,-0.143006377,-0.05555230668
7/25/2022,-0.1644712084,-0.05571582423
7/26/2022,-0.1433133609,-0.05100255445
7/27/2022,-0.1664726101,-0.04854526764
7/28/2022,-0.1572328135,-0.04604446676
7/29/2022,-0.1791875921,-0.04605479116
8/1/2022,-0.1314776853,-0.04445646851
8/2/2022,-0.137155706,-0.04119094597
8/3/2022,-0.09628652759,-0.03836745798
8/4/2022,-0.07504372164,-0.04171697992
8/5/2022,-0.0802879159,-0.04103995442
8/8/2022,-0.09917778623,-0.03914372724
8/9/2022,-0.09553557546,-0.03839684142
8/10/2022,-0.1115052537,-0.03744788757
8/11/2022,-0.1359196119,-0.03663490237
8/12/2022,-0.1134045895,-0.03650040222
8/15/2022,-0.08539634503,-0.03744432136
8/16/2022,-0.05221977498,-0.03501127306
8/17/2022,-0.07021226391,-0.03540192705
8/18/2022,-0.09575019076,-0.03371657544
8/19/2022,-0.09949852179,-0.03380940531
8/22/2022,-0.09810792414,-0.03330376347
8/23/2022,-0.1301308837,-0.02860342215
8/24/2022,-0.1203381187,-0.006617323659
8/25/2022,-0.09714406864,-0.008716762214
8/26/2022,-0.100353314,-0.006106398534
8/29/2022,-0.1398286797,-0.004012144675
8/30/2022,-0.08366023348,-0.004789906828
8/31/2022,-0.06181163973,-0.006012042157
9/1/2022,-0.02794453577,-0.005526784362
9/2/2022,-0.03023837781,-0.004823160475
9/6/2022,-0.03092550565,-0.005395180394
9/7/2022,0.02619923759,-0.006811021222
9/8/2022,0.007704654957,-0.005967316908
9/9/2022,-0.03000923024,-0.005515353519
9/12/2022,-0.040382649,-0.00454649567
9/13/2022,-0.03651944683,-0.006051973939
9/14/2022,-0.0482896144,-0.004510607557
9/15/2022,-0.01208863967,-0.007259135026
9/16/2022,-0.0103372235,-0.005390216941
9/19/2022,-0.01709243204,-0.004887140283
9/20/2022,0,-0.00283788768
