Uniform Calendar k,coef(a),std err(a),z(a),P>|z|(a),95% CI Lower(a),95% CI Upper(a),coef(b),std err(b),z(b),P>|z|(b),95% CI Lower(b),95% CI Upper(b),Wald Test Result,T-Test coef,T-Test std err,T-Test t,T-Test P>|t|,T-Test 95% CI Lower,T-Test 95% CI Upper
1,-0.0012961334712643059,0.0011790367254923195,-1.0993156050530075,0.27163042800125436,-0.00360700298967929,0.0010147360471506784,1.3173556749972706,0.24904912250801572,5.2895415239010575,1.226233422921851e-07,0.829228364500256,1.805482985494285,0.43720833620363597,-0.0012961334712643059,0.0011790367254923195,-1.0993156050530075,0.27163042800125436,-0.00360700298967929,0.0010147360471506784
2,-0.0026515923912585294,0.0029326199040469016,-0.9041718592987229,0.36590427940691606,-0.008399421783535765,0.0030962370010187068,0.15988489399923195,0.24952517587635342,0.6407565626903287,0.5216808585306587,-0.32917546395444347,0.6489452519529073,0.0033087204186387827,-0.0026515923912585294,0.0029326199040469016,-0.9041718592987228,0.36590427940691606,-0.008399421783535765,0.0030962370010187068
3,-0.0019053278734480219,0.0029842401327230153,-0.6384633235628651,0.5231721214569669,-0.007754331054804163,0.003943675307908118,1.1345508376736944,0.04995808622148277,22.710054036974288,3.564039901107487e-114,1.0366347879430413,1.2324668874043474,0.025973065088790027,-0.0019053278734480219,0.0029842401327230153,-0.6384633235628651,0.5231721214569669,-0.007754331054804163,0.003943675307908118
4,-0.0010118721702770733,0.0033546315806336734,-0.3016343660861666,0.762930807127921,-0.007586829249719747,0.005563084909165601,1.477436673924904,0.4194010951640846,3.522729651783285,0.0004271268131749269,0.6554256323266424,2.299447715523166,0.4679607614744833,-0.0010118721702770733,0.0033546315806336734,-0.30163436608616667,0.7629308071279209,-0.007586829249719747,0.005563084909165601
5,-0.004456838997597529,0.006043780446126895,-0.7374256952787979,0.46086351430315997,-0.016302431002473663,0.007388753007278605,2.073491319577634,1.0946456780099056,1.8942123110989624,0.058196834667563056,-0.07197478515420963,4.218957424309478,0.591430813843135,-0.004456838997597529,0.006043780446126895,-0.7374256952787979,0.46086351430315997,-0.016302431002473663,0.007388753007278605
6,-0.005747895794191872,0.005870331469276416,-0.9791433114594404,0.3275091738923597,-0.017253534051285747,0.005757742462902002,1.5942314076452702,0.23367247676904204,6.822504000849795,8.94671374338478e-12,1.1362417689996753,2.0522210462908648,0.00942616746481362,-0.005747895794191872,0.005870331469276416,-0.9791433114594406,0.3275091738923598,-0.017253534051285747,0.005757742462902002
7,-0.008453903208731985,0.007523225958384632,-1.1237072042625695,0.2611372591411757,-0.023199155134722697,0.006291348717258725,1.0589483122988128,0.4858200674378618,2.1797129910329534,0.0292787429838424,0.1067584771537834,2.0111381474438423,0.13975336105354333,-0.008453903208731985,0.007523225958384632,-1.1237072042625698,0.2611372591411756,-0.023199155134722697,0.006291348717258725
8,-0.006481234986650934,0.007242991535513032,-0.8948284634702198,0.3708787922659116,-0.02067723753658494,0.007714767563283073,2.479534261435933,1.2755441046354787,1.9439031958401212,0.051907125806534976,-0.02048624434199553,4.979554767213862,0.4763854556320619,-0.006481234986650934,0.007242991535513032,-0.8948284634702197,0.3708787922659118,-0.02067723753658494,0.007714767563283073
9,-0.007019170245307126,0.0068729509494878036,-1.021274601971402,0.3071243559836244,-0.02048990657381359,0.006451566083199338,1.4585464726936486,0.5894106456626402,2.4745845420791293,0.013339124585401674,0.3033228350903743,2.613770110296923,0.5922445160015992,-0.007019170245307126,0.0068729509494878036,-1.021274601971402,0.3071243559836244,-0.02048990657381359,0.006451566083199338
10,-0.005388908515232759,0.005920672996879681,-0.9101851289663906,0.3627248854182705,-0.01699321435335576,0.006215397322890245,1.9793307729267884,0.5980770447019489,3.309491294575912,0.0009346567253804477,0.8071213053308166,3.15154024052276,0.18929790855486972,-0.005388908515232759,0.005920672996879681,-0.9101851289663906,0.3627248854182705,-0.01699321435335576,0.006215397322890245
