Uniform Calendar k,coef(a),std err(a),z(a),P>|z|(a),95% CI Lower(a),95% CI Upper(a),coef(b),std err(b),z(b),P>|z|(b),95% CI Lower(b),95% CI Upper(b),Wald Test Result,T-Test coef,T-Test std err,T-Test t,T-Test P>|t|,T-Test 95% CI Lower,T-Test 95% CI Upper,significance(a),significance(b),significance(wald),significance(t)
1,-0.0012961334712643,0.0011790367254923,-1.0993156050530075,0.2716304280012543,-0.0036070029896792,0.0010147360471506,1.3173556749972706,0.2490491225080157,5.2895415239010575,1.226233422921851e-07,0.829228364500256,1.805482985494285,0.4372083362036359,-0.0012961334712643,0.0011790367254923,-1.0993156050530075,0.2716304280012543,-0.0036070029896792,0.0010147360471506,,***,,
2,-0.0026515923912585,0.0029326199040469,-0.9041718592987228,0.365904279406916,-0.0083994217835357,0.0030962370010187,0.1598848939992319,0.2495251758763534,0.6407565626903287,0.5216808585306587,-0.3291754639544434,0.6489452519529073,0.0033087204186387,-0.0026515923912585,0.0029326199040469,-0.9041718592987228,0.365904279406916,-0.0083994217835357,0.0030962370010187,,,***,
3,-0.001905327873448,0.002984240132723,-0.6384633235628651,0.5231721214569669,-0.0077543310548041,0.0039436753079081,1.1345508376736944,0.0499580862214827,22.710054036974288,3.564039901107487e-114,1.036634787943041,1.2324668874043474,0.02597306508879,-0.001905327873448,0.002984240132723,-0.6384633235628651,0.5231721214569669,-0.0077543310548041,0.0039436753079081,,***,**,
4,-0.001011872170277,0.0033546315806336,-0.3016343660861666,0.762930807127921,-0.0075868292497197,0.0055630849091656,1.477436673924904,0.4194010951640846,3.522729651783285,0.0004271268131749,0.6554256323266424,2.299447715523166,0.4679607614744833,-0.001011872170277,0.0033546315806336,-0.3016343660861666,0.7629308071279209,-0.0075868292497197,0.0055630849091656,,***,,
5,-0.0044568389975975,0.0060437804461268,-0.7374256952787979,0.4608635143031599,-0.0163024310024736,0.0073887530072786,2.073491319577634,1.0946456780099056,1.8942123110989624,0.058196834667563,-0.0719747851542096,4.218957424309478,0.591430813843135,-0.0044568389975975,0.0060437804461268,-0.7374256952787979,0.4608635143031599,-0.0163024310024736,0.0073887530072786,,*,,
6,-0.0057478957941918,0.0058703314692764,-0.9791433114594404,0.3275091738923597,-0.0172535340512857,0.005757742462902,1.5942314076452702,0.233672476769042,6.822504000849795,8.94671374338478e-12,1.136241768999675,2.0522210462908648,0.0094261674648136,-0.0057478957941918,0.0058703314692764,-0.9791433114594406,0.3275091738923598,-0.0172535340512857,0.005757742462902,,***,***,
7,-0.0084539032087319,0.0075232259583846,-1.1237072042625695,0.2611372591411757,-0.0231991551347226,0.0062913487172587,1.0589483122988128,0.4858200674378618,2.1797129910329534,0.0292787429838424,0.1067584771537834,2.0111381474438423,0.1397533610535433,-0.0084539032087319,0.0075232259583846,-1.1237072042625698,0.2611372591411756,-0.0231991551347226,0.0062913487172587,,**,,
8,-0.0064812349866509,0.007242991535513,-0.8948284634702198,0.3708787922659116,-0.0206772375365849,0.007714767563283,2.479534261435933,1.2755441046354787,1.9439031958401207,0.0519071258065349,-0.0204862443419955,4.979554767213862,0.4763854556320619,-0.0064812349866509,0.007242991535513,-0.8948284634702197,0.3708787922659118,-0.0206772375365849,0.007714767563283,,*,,
9,-0.0070191702453071,0.0068729509494878,-1.021274601971402,0.3071243559836244,-0.0204899065738135,0.0064515660831993,1.4585464726936486,0.5894106456626402,2.4745845420791293,0.0133391245854016,0.3033228350903743,2.613770110296923,0.5922445160015992,-0.0070191702453071,0.0068729509494878,-1.021274601971402,0.3071243559836244,-0.0204899065738135,0.0064515660831993,,**,,
10,-0.0053889085152327,0.0059206729968796,-0.9101851289663906,0.3627248854182705,-0.0169932143533557,0.0062153973228902,1.9793307729267884,0.5980770447019489,3.309491294575912,0.0009346567253804,0.8071213053308166,3.15154024052276,0.1892979085548697,-0.0053889085152327,0.0059206729968796,-0.9101851289663906,0.3627248854182705,-0.0169932143533557,0.0062153973228902,,***,,
11,-0.0034470324677369,0.0047347694757742,-0.7280254055395796,0.4665980345196515,-0.0127270101153539,0.00583294517988,-0.2779790047599863,1.03945731224437,-0.2674270520641016,0.7891403731312263,-2.315277900225757,1.7593198907057843,0.4233134273078107,-0.0034470324677369,0.0047347694757742,-0.7280254055395796,0.4665980345196515,-0.0127270101153539,0.00583294517988,,,,
12,-0.0050009839136477,0.0047262788255079,-1.0581229119740398,0.2899994100048741,-0.0142643201925376,0.0042623523652421,1.5341733549040426,0.454920145452902,3.3724014428437217,0.0007451575019687,0.6425462539746317,2.4258004558334534,0.4224660843536177,-0.0050009839136477,0.0047262788255079,-1.0581229119740398,0.2899994100048741,-0.0142643201925376,0.0042623523652421,,***,,
13,-0.0039955860561227,0.0054629154632763,-0.7314017730976281,0.4645337825701928,-0.0147027036147314,0.0067115315024858,2.6256148532624994,1.290479505278233,2.034604069668201,0.0418907275581888,0.0963215001300961,5.154908206394903,0.3573221091593436,-0.0039955860561227,0.0054629154632763,-0.7314017730976282,0.4645337825701928,-0.0147027036147314,0.0067115315024858,,**,,
14,-0.0057616400627252,0.0055667057346676,-1.0350178970020996,0.3006605531893068,-0.0166721828152064,0.0051489026897559,1.1662470917019945,0.3033844941802094,3.844122274124028,0.0001209846752967,0.5716244096408825,1.7608697737631065,0.5724448246528033,-0.0057616400627252,0.0055667057346676,-1.0350178970020996,0.3006605531893068,-0.0166721828152064,0.0051489026897559,,***,,
15,-0.0137502669300543,0.0084599784216042,-1.6253312059213154,0.1040920056091404,-0.0303315199463846,0.002830986086276,3.37893826433986,0.816492737839854,4.138356788425718,3.498021087737539e-05,1.778641904535242,4.979234624144478,0.0120527406067421,-0.0137502669300543,0.0084599784216042,-1.6253312059213154,0.1040920056091404,-0.0303315199463846,0.002830986086276,,***,**,
16,-0.0233561972231696,0.0108366321823577,-2.155300358094105,0.0311383378020459,-0.0445956060142984,-0.0021167884320408,3.493881781575149,0.5647125413182444,6.187009364833935,6.131632380231328e-10,2.387065538973303,4.600698024176995,3.4590384792159332e-09,-0.0233561972231696,0.0108366321823577,-2.155300358094105,0.0311383378020459,-0.0445956060142984,-0.0021167884320408,**,***,***,**
17,-0.0109022007794174,0.0064600584737876,-1.687631903589443,0.091481911030165,-0.023563682726064,0.0017592811672292,1.4370228941444168,0.3046615056872172,4.716785243028852,2.396003653861259e-06,0.8398973155217261,2.0341484727671078,0.172694622708274,-0.0109022007794174,0.0064600584737876,-1.6876319035894427,0.091481911030165,-0.023563682726064,0.0017592811672292,*,***,,*
18,-0.0332076483926323,0.0153183535741036,-2.1678340450876785,0.0301713154992144,-0.0632310697003258,-0.0031842270849388,3.188752275476374,1.4585288857930296,2.186279823825765,0.0287951393272724,0.3300881889107026,6.047416362042046,0.0567131200924996,-0.0332076483926323,0.0153183535741036,-2.167834045087679,0.0301713154992144,-0.0632310697003258,-0.0031842270849388,**,**,*,**
19,0.0024654386475955,0.0064410568428514,0.3827692733890105,0.7018908458814894,-0.0101588007867685,0.0150896780819597,-1.1471708880690747,1.1621391150235267,-0.9871201074286629,0.3235837615432074,-3.4249216985404383,1.1305799224022888,0.0650268406572274,0.0024654386475955,0.0064410568428514,0.3827692733890105,0.7018908458814894,-0.0101588007867685,0.0150896780819597,,,*,
20,-9.40426868093298e-05,0.00825455803403,-0.0113928191456927,0.9909100421405832,-0.0162726791418039,0.0160845937681853,0.3405376398253931,0.3670156570167001,0.927855892016884,0.353482326885159,-0.3787998296896443,1.0598751093404304,0.0813829575388516,-9.40426868093298e-05,0.00825455803403,-0.0113928191456927,0.9909100421405832,-0.0162726791418039,0.0160845937681853,,,*,
21,-0.0085095785773083,0.0078815338219093,-1.079685600492269,0.2802822082480588,-0.0239571010111849,0.0069379438565683,2.0360476305879023,0.6016884717601599,3.383890046341946,0.0007146661715891,0.8567598960250433,3.215335365150761,0.1201199719419237,-0.0085095785773083,0.0078815338219093,-1.079685600492269,0.2802822082480588,-0.0239571010111849,0.0069379438565683,,***,,
22,-0.0075977598383462,0.0077958202947511,-0.9745940197546256,0.3297616812221715,-0.0228772868460049,0.0076817671693124,-0.1639307331616053,0.4284708980555921,-0.3825947897640789,0.7020202340280692,-1.003718261774099,0.6758567954508882,8.427822762072371e-05,-0.0075977598383462,0.0077958202947511,-0.9745940197546258,0.3297616812221714,-0.0228772868460049,0.0076817671693124,,,***,
23,-0.0112083033316054,0.0082860411873034,-1.3526728962896888,0.176160152914933,-0.0274486456331357,0.0050320389699248,1.972077051860044,0.6587461143714266,2.993683012068759,0.002756321468733,0.6809583927363443,3.263195710983743,0.1655190538322911,-0.0112083033316054,0.0082860411873034,-1.3526728962896888,0.176160152914933,-0.0274486456331357,0.0050320389699248,,***,,
